scope,model_id,benchmark_id,initial_success,critique_surface_label,plan_surface_label,cr_transition,cpr_transition,count
pooled,,,0,explicit_no_problem,change_or_other,,,1
pooled,,,0,explicit_no_problem,change_or_other,repair,repair,5
pooled,,,0,explicit_no_problem,change_or_other,repair,unrepaired_failure,1
pooled,,,0,explicit_no_problem,change_or_other,unrepaired_failure,repair,1
pooled,,,0,explicit_no_problem,change_or_other,unrepaired_failure,unrepaired_failure,219
pooled,,,0,explicit_no_problem,explicit_no_change,,unrepaired_failure,5
pooled,,,0,explicit_no_problem,explicit_no_change,repair,repair,1
pooled,,,0,explicit_no_problem,explicit_no_change,repair,unrepaired_failure,1
pooled,,,0,explicit_no_problem,explicit_no_change,unrepaired_failure,repair,2
pooled,,,0,explicit_no_problem,explicit_no_change,unrepaired_failure,unrepaired_failure,1039
pooled,,,0,problem_or_other,change_or_other,,,7
pooled,,,0,problem_or_other,change_or_other,,unrepaired_failure,5
pooled,,,0,problem_or_other,change_or_other,repair,repair,152
pooled,,,0,problem_or_other,change_or_other,repair,unrepaired_failure,46
pooled,,,0,problem_or_other,change_or_other,unrepaired_failure,,3
pooled,,,0,problem_or_other,change_or_other,unrepaired_failure,repair,34
pooled,,,0,problem_or_other,change_or_other,unrepaired_failure,unrepaired_failure,2151
pooled,,,0,problem_or_other,explicit_no_change,,,1
pooled,,,0,problem_or_other,explicit_no_change,repair,repair,12
pooled,,,0,problem_or_other,explicit_no_change,repair,unrepaired_failure,4
pooled,,,0,problem_or_other,explicit_no_change,unrepaired_failure,,1
pooled,,,0,problem_or_other,explicit_no_change,unrepaired_failure,repair,2
pooled,,,0,problem_or_other,explicit_no_change,unrepaired_failure,unrepaired_failure,669
pooled,,,1,explicit_no_problem,change_or_other,functional_preservation,functional_preservation,487
pooled,,,1,explicit_no_problem,change_or_other,functional_preservation,regression,10
pooled,,,1,explicit_no_problem,change_or_other,regression,functional_preservation,3
pooled,,,1,explicit_no_problem,change_or_other,regression,regression,18
pooled,,,1,explicit_no_problem,explicit_no_change,,functional_preservation,4
pooled,,,1,explicit_no_problem,explicit_no_change,functional_preservation,functional_preservation,2128
pooled,,,1,explicit_no_problem,explicit_no_change,functional_preservation,regression,4
pooled,,,1,explicit_no_problem,explicit_no_change,regression,functional_preservation,2
pooled,,,1,explicit_no_problem,explicit_no_change,regression,regression,4
pooled,,,1,problem_or_other,change_or_other,,,2
pooled,,,1,problem_or_other,change_or_other,,functional_preservation,1
pooled,,,1,problem_or_other,change_or_other,functional_preservation,functional_preservation,1240
pooled,,,1,problem_or_other,change_or_other,functional_preservation,regression,163
pooled,,,1,problem_or_other,change_or_other,regression,functional_preservation,58
pooled,,,1,problem_or_other,change_or_other,regression,regression,503
pooled,,,1,problem_or_other,explicit_no_change,functional_preservation,functional_preservation,1007
pooled,,,1,problem_or_other,explicit_no_change,functional_preservation,regression,7
pooled,,,1,problem_or_other,explicit_no_change,regression,functional_preservation,6
pooled,,,1,problem_or_other,explicit_no_change,regression,regression,16
pooled,,,,explicit_no_problem,change_or_other,,,1
pooled,,,,explicit_no_problem,explicit_no_change,,,7
pooled,,,,problem_or_other,change_or_other,,,18
pooled,,,,problem_or_other,explicit_no_change,,,3
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,explicit_no_problem,change_or_other,unrepaired_failure,unrepaired_failure,10
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,explicit_no_problem,explicit_no_change,unrepaired_failure,unrepaired_failure,12
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,problem_or_other,change_or_other,,,1
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,problem_or_other,change_or_other,repair,repair,25
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,problem_or_other,change_or_other,repair,unrepaired_failure,8
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,problem_or_other,change_or_other,unrepaired_failure,,1
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,problem_or_other,change_or_other,unrepaired_failure,repair,3
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,problem_or_other,change_or_other,unrepaired_failure,unrepaired_failure,592
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,0,problem_or_other,explicit_no_change,unrepaired_failure,unrepaired_failure,41
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,explicit_no_problem,change_or_other,functional_preservation,functional_preservation,8
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,explicit_no_problem,explicit_no_change,functional_preservation,functional_preservation,17
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,explicit_no_problem,explicit_no_change,regression,regression,1
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,problem_or_other,change_or_other,functional_preservation,functional_preservation,244
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,problem_or_other,change_or_other,functional_preservation,regression,21
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,problem_or_other,change_or_other,regression,functional_preservation,8
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,problem_or_other,change_or_other,regression,regression,91
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,problem_or_other,explicit_no_change,functional_preservation,functional_preservation,44
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,1,problem_or_other,explicit_no_change,functional_preservation,regression,1
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,,problem_or_other,change_or_other,,,7
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,0,explicit_no_problem,explicit_no_change,unrepaired_failure,unrepaired_failure,2
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,0,problem_or_other,change_or_other,,,1
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,0,problem_or_other,change_or_other,repair,repair,6
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,0,problem_or_other,change_or_other,repair,unrepaired_failure,1
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,0,problem_or_other,change_or_other,unrepaired_failure,unrepaired_failure,24
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,0,problem_or_other,explicit_no_change,unrepaired_failure,repair,1
