model_id,benchmark_id,protocol,transition,candidate_changed_normalized,candidate_changed_exact,count
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,functional_preservation,false,false,70
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,functional_preservation,true,true,251
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,regression,true,true,114
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,repair,true,true,28
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,unrepaired_failure,false,false,63
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,unrepaired_failure,true,true,600
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,functional_preservation,false,false,86
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,functional_preservation,true,true,249
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,regression,true,true,100
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,repair,true,true,33
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,unrepaired_failure,false,false,97
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,unrepaired_failure,true,true,562
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,functional_preservation,false,false,435
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,unrepaired_failure,false,false,693
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,functional_preservation,false,false,435
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,unrepaired_failure,false,false,693
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,functional_preservation,false,false,435
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,unrepaired_failure,false,false,693
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,functional_preservation,false,false,435
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,unrepaired_failure,false,false,693
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,functional_preservation,false,false,391
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,functional_preservation,true,true,40
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,regression,false,false,1
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,regression,true,true,3
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,repair,true,true,2
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,unrepaired_failure,false,false,587
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,unrepaired_failure,true,true,104
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,functional_preservation,false,false,206
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,functional_preservation,true,true,38
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,regression,true,true,7
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,repair,true,true,6
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,unrepaired_failure,false,false,278
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,unrepaired_failure,true,true,107
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,functional_preservation,false,false,312
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,functional_preservation,true,true,94
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,regression,true,true,10
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,repair,true,true,7
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,unrepaired_failure,false,false,466
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,unrepaired_failure,true,true,182
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,functional_preservation,false,false,405
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,functional_preservation,false,true,1
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,functional_preservation,true,true,15
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,regression,true,true,7
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,repair,true,true,4
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,unrepaired_failure,false,false,618
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,unrepaired_failure,true,true,60
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,functional_preservation,false,false,405
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,functional_preservation,true,true,22
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,regression,false,false,2
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,regression,true,true,5
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,repair,true,true,5
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,unrepaired_failure,false,false,604
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,unrepaired_failure,true,true,80
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,functional_preservation,false,false,397
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,functional_preservation,true,true,32
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,regression,false,false,1
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,regression,true,true,5
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,repair,true,true,6
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,unrepaired_failure,false,false,599
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,unrepaired_failure,true,true,88
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,functional_preservation,false,false,59
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,functional_preservation,true,true,45
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,regression,true,true,21
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,repair,true,true,7
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,unrepaired_failure,false,false,7
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,unrepaired_failure,true,true,21
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,functional_preservation,false,false,61
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,functional_preservation,true,true,47
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,regression,true,true,17
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,repair,true,true,7
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,unrepaired_failure,false,false,9
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,unrepaired_failure,true,true,19
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,functional_preservation,false,false,126
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,unrepaired_failure,false,false,36
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,functional_preservation,false,false,126
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,unrepaired_failure,false,false,36
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,functional_preservation,false,false,126
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,unrepaired_failure,false,false,36
deepseek-coder-v2-lite-instruct,humaneval_plus,dr,functional_preservation,false,false,126
deepseek-coder-v2-lite-instruct,humaneval_plus,dr,unrepaired_failure,false,false,36
deepseek-coder-v2-lite-instruct,humaneval_plus,r,functional_preservation,false,false,118
deepseek-coder-v2-lite-instruct,humaneval_plus,r,functional_preservation,true,true,6
deepseek-coder-v2-lite-instruct,humaneval_plus,r,regression,true,true,2
deepseek-coder-v2-lite-instruct,humaneval_plus,r,repair,true,true,1
deepseek-coder-v2-lite-instruct,humaneval_plus,r,unrepaired_failure,false,false,31
deepseek-coder-v2-lite-instruct,humaneval_plus,r,unrepaired_failure,true,true,4
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,functional_preservation,false,false,78
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,functional_preservation,true,true,18
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,regression,true,true,6
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,repair,true,true,3
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,unrepaired_failure,false,false,10
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,unrepaired_failure,true,true,13
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cr,functional_preservation,false,false,96
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cr,functional_preservation,true,true,23
