model_id,benchmark_id,protocol,total_rows,determinate_final,pass,fail,pass_rate,success_measure,malformed_candidate,paired_initial_final,initial_pass_rate_on_paired,refinement_gain,timeout,evaluation_failure,missing_or_other
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,1136,1129,435,694,0.3852967227635075,end_to_end_success,1,1128,0.38563829787234044,0.0,7,0,0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,1136,1129,433,696,0.38352524357838796,end_to_end_success,1,1128,0.38563829787234044,-0.0017730496453900709,7,0,0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,1136,1130,368,762,0.3256637168141593,end_to_end_success,1,1127,0.385980479148181,-0.05944986690328305,6,0,0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,1136,1130,349,781,0.3088495575221239,end_to_end_success,1,1126,0.38632326820603907,-0.0763765541740675,6,0,0
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,163,162,126,36,0.7777777777777778,end_to_end_success,0,162,0.7777777777777778,0.0,1,0,0
deepseek-coder-v2-lite-instruct,humaneval_plus,r,163,162,125,37,0.7716049382716049,end_to_end_success,0,162,0.7777777777777778,-0.006172839506172839,1,0,0
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,163,160,115,45,0.71875,end_to_end_success,0,160,0.78125,-0.0625,3,0,0
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,163,160,111,49,0.69375,end_to_end_success,0,160,0.78125,-0.0875,3,0,0
deepseek-coder-v2-lite-instruct,mbpp_plus,direct,378,374,276,98,0.7379679144385026,end_to_end_success,0,374,0.7379679144385026,0.0,4,0,0
deepseek-coder-v2-lite-instruct,mbpp_plus,r,378,374,277,97,0.7406417112299465,end_to_end_success,0,374,0.7379679144385026,0.00267379679144385,4,0,0
deepseek-coder-v2-lite-instruct,mbpp_plus,cr,378,375,236,139,0.6293333333333333,end_to_end_success,0,373,0.739946380697051,-0.10991957104557641,3,0,0
deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,378,375,224,151,0.5973333333333334,end_to_end_success,0,374,0.7379679144385026,-0.13903743315508021,3,0,0
devstral-small-2-24b-instruct,bigcodebench_instruct,direct,1136,1136,538,598,0.4735915492957746,end_to_end_success,0,1136,0.4735915492957746,0.0,0,0,0
devstral-small-2-24b-instruct,bigcodebench_instruct,r,1136,1136,542,594,0.477112676056338,end_to_end_success,0,1136,0.4735915492957746,0.0035211267605633804,0,0,0
devstral-small-2-24b-instruct,bigcodebench_instruct,cr,1136,1134,456,678,0.4021164021164021,end_to_end_success,0,1134,0.47354497354497355,-0.07142857142857142,2,0,0
devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,1136,1133,430,703,0.3795233892321271,end_to_end_success,0,1133,0.4748455428067079,-0.09532215357458076,3,0,0
devstral-small-2-24b-instruct,humaneval_plus,direct,163,161,138,23,0.8571428571428571,end_to_end_success,0,161,0.8571428571428571,0.0,2,0,0
devstral-small-2-24b-instruct,humaneval_plus,r,163,161,141,20,0.8757763975155279,end_to_end_success,1,160,0.8625,0.01875,2,0,0
devstral-small-2-24b-instruct,humaneval_plus,cr,163,161,136,25,0.84472049689441,end_to_end_success,1,160,0.8625,-0.0125,2,0,0
devstral-small-2-24b-instruct,humaneval_plus,cpr,163,161,134,27,0.8322981366459627,end_to_end_success,0,161,0.8571428571428571,-0.024844720496894408,2,0,0
devstral-small-2-24b-instruct,mbpp_plus,direct,378,377,264,113,0.7002652519893899,end_to_end_success,2,375,0.704,0.0,1,0,0
devstral-small-2-24b-instruct,mbpp_plus,r,378,377,265,112,0.7029177718832891,end_to_end_success,2,375,0.704,0.0026666666666666666,1,0,0
devstral-small-2-24b-instruct,mbpp_plus,cr,378,377,262,115,0.6949602122015915,end_to_end_success,2,374,0.7058823529411765,-0.0053475935828877,1,0,0
devstral-small-2-24b-instruct,mbpp_plus,cpr,378,377,253,124,0.6710875331564987,end_to_end_success,2,374,0.7058823529411765,-0.029411764705882353,1,0,0
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,direct,1136,1136,569,567,0.5008802816901409,end_to_end_success,0,1136,0.5008802816901409,0.0,0,0,0
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,1136,1136,574,562,0.5052816901408451,end_to_end_success,0,1136,0.5008802816901409,0.0044014084507042256,0,0,0
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,1136,1136,560,576,0.49295774647887325,end_to_end_success,0,1136,0.5008802816901409,-0.007922535211267605,0,0,0
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,1136,1136,557,579,0.4903169014084507,end_to_end_success,0,1136,0.5008802816901409,-0.01056338028169014,0,0,0
gemma-4-31b-it-qat-w4a16,humaneval_plus,direct,163,161,156,5,0.968944099378882,end_to_end_success,0,161,0.968944099378882,0.0,2,0,0
gemma-4-31b-it-qat-w4a16,humaneval_plus,r,163,161,155,6,0.9627329192546584,end_to_end_success,0,161,0.968944099378882,-0.006211180124223602,2,0,0
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,163,161,151,10,0.937888198757764,end_to_end_success,0,161,0.968944099378882,-0.031055900621118012,2,0,0
gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,163,161,151,10,0.937888198757764,end_to_end_success,0,161,0.968944099378882,-0.031055900621118012,2,0,0
gemma-4-31b-it-qat-w4a16,mbpp_plus,direct,378,377,303,74,0.8037135278514589,end_to_end_success,2,375,0.808,0.0,1,0,0
gemma-4-31b-it-qat-w4a16,mbpp_plus,r,378,377,307,70,0.8143236074270557,end_to_end_success,2,375,0.808,0.010666666666666666,1,0,0
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,378,378,305,73,0.8068783068783069,end_to_end_success,4,373,0.8096514745308311,0.00804289544235925,0,0,0
gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,378,377,304,73,0.8063660477453581,end_to_end_success,3,374,0.8074866310160428,0.0053475935828877,1,0,0
qwen2.5-coder-14b-instruct,bigcodebench_instruct,direct,1136,1136,558,578,0.49119718309859156,end_to_end_success,0,1136,0.49119718309859156,0.0,0,0,0
qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,1136,1136,559,577,0.4920774647887324,end_to_end_success,0,1136,0.49119718309859156,0.0008802816901408451,0,0,0
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,1136,1136,553,583,0.4867957746478873,end_to_end_success,0,1136,0.49119718309859156,-0.0044014084507042256,0,0,0
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,1136,1135,553,582,0.48722466960352423,end_to_end_success,0,1135,0.49162995594713654,-0.004405286343612335,1,0,0
qwen2.5-coder-14b-instruct,humaneval_plus,direct,163,161,142,19,0.8819875776397516,end_to_end_success,0,161,0.8819875776397516,0.0,2,0,0
qwen2.5-coder-14b-instruct,humaneval_plus,r,163,161,142,19,0.8819875776397516,end_to_end_success,0,161,0.8819875776397516,0.0,2,0,0
qwen2.5-coder-14b-instruct,humaneval_plus,cr,163,161,139,22,0.8633540372670807,end_to_end_success,0,161,0.8819875776397516,-0.018633540372670808,2,0,0
qwen2.5-coder-14b-instruct,humaneval_plus,cpr,163,161,141,20,0.8757763975155279,end_to_end_success,0,161,0.8819875776397516,-0.006211180124223602,2,0,0
qwen2.5-coder-14b-instruct,mbpp_plus,direct,378,377,287,90,0.7612732095490716,end_to_end_success,0,377,0.7612732095490716,0.0,1,0,0
qwen2.5-coder-14b-instruct,mbpp_plus,r,378,377,290,87,0.7692307692307693,end_to_end_success,0,377,0.7612732095490716,0.007957559681697613,1,0,0
qwen2.5-coder-14b-instruct,mbpp_plus,cr,378,377,290,87,0.7692307692307693,end_to_end_success,0,377,0.7612732095490716,0.007957559681697613,1,0,0
qwen2.5-coder-14b-instruct,mbpp_plus,cpr,378,377,288,89,0.7639257294429708,end_to_end_success,0,377,0.7612732095490716,0.002652519893899204,1,0,0
qwen2.5-coder-7b-instruct,bigcodebench_instruct,direct,1136,1136,466,670,0.4102112676056338,end_to_end_success,0,1136,0.4102112676056338,0.0,0,0,0
qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,1136,1136,477,659,0.4198943661971831,end_to_end_success,0,1136,0.4102112676056338,0.009683098591549295,0,0,0
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,1136,1136,472,664,0.4154929577464789,end_to_end_success,9,1127,0.40993788819875776,0.008873114463176575,0,0,0
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,1136,1136,470,666,0.4137323943661972,end_to_end_success,0,1136,0.4102112676056338,0.0035211267605633804,0,0,0
qwen2.5-coder-7b-instruct,humaneval_plus,direct,163,161,140,21,0.8695652173913043,end_to_end_success,0,161,0.8695652173913043,0.0,2,0,0
qwen2.5-coder-7b-instruct,humaneval_plus,r,163,161,140,21,0.8695652173913043,end_to_end_success,0,161,0.8695652173913043,0.0,2,0,0
qwen2.5-coder-7b-instruct,humaneval_plus,cr,163,161,135,26,0.8385093167701864,end_to_end_success,0,161,0.8695652173913043,-0.031055900621118012,2,0,0
qwen2.5-coder-7b-instruct,humaneval_plus,cpr,163,162,135,27,0.8333333333333334,end_to_end_success,0,161,0.8695652173913043,-0.031055900621118012,1,0,0
qwen2.5-coder-7b-instruct,mbpp_plus,direct,378,375,278,97,0.7413333333333333,end_to_end_success,0,375,0.7413333333333333,0.0,3,0,0
